chase_order,priority,event_type,date,diary_reference,source_pages,naid,release,catalog_title,participants,countries,topics,summary,compiler_use,chase_target,source_control,search_terms_hit,catalog_url,pdf_url,pdf_filename,substantive_record_found,memcon_telcon_or_trip_file,source_note_verified,final_selection_decision,compiler_notes
11,High,Meeting lead,1995-03-07,Presidential Daily Diary reference: meeting with U.S. and NATO officials,pages 65 and 70,17368179,LPWJC 2010-0083-F,[Ellen McCathran - Presidential Daily Diary - Hardcopy  1/9/95; 1/22/95; 1/26/95; 2/4/95; 2/8/95; 3/13/95; 3/13/95],Bill Clinton; Willy Claes; Robert Hunter; Sandy Vershbow,United States,NATO Strategy; NATO enlargement,"The diary records a meeting with U.S. and NATO officials; the appendix lists Willy Claes, Robert Hunter, John Kornblum, Sandy Vershbow, and NATO staff.",High-priority NATO institutional lead; chase memcon and briefing materials around Claes visit.,"Chase summit memcons, trip book tabs, briefing materials, and delegation follow-up files.",User-supplied 2010-0083-F release; verify diary page image and any withdrawal sheets before citing.,2010-0083-F; NATO,https://catalog.archives.gov/id/17368179,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/79/3681/17368179/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-010-2015.pdf,42-t-7262157-20100083F-001-010-2015.pdf,,,,,
12,Medium-high,Summit or trip lead,1995-05-10,Presidential Daily Diary reference: Moscow meetings and luncheon with Yeltsin,pages 67-73,147870833,LPWJC 2013-0549-F,[05/01/1995-05/14/1995],Bill Clinton; Boris Yeltsin; Strobe Talbott; Anthony Lake,United States; Russia,NATO-Russia; European Security Architecture,"The diary records Clinton's Moscow briefing, Kremlin meetings with Yeltsin, and a private luncheon hosted by Yeltsin.",Use for NATO-Russia and broader European security context; chase the Moscow summit memoranda.,"Chase summit memcons, trip book tabs, briefing materials, and delegation follow-up files.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Kozyrev; Mamedov; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/147870833,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-006-003-2018.pdf,42-t-101784486-20130549F-006-003-2018.pdf,,,,,
13,Medium-high,Call or telcon lead,1995-07-28,Presidential Daily Diary reference: conference call with Boris Yeltsin,page 50,147870839,LPWJC 2013-0549-F,[07/01/1995-07/31/1995],Bill Clinton; Boris Yeltsin,United States; Russia,NATO-Russia; Bosnia,The diary records a morning conference call with Boris Yeltsin and NSC/Situation Room participants.,Use as a Russian consultation lead; chase telcon text for NATO/Bosnia relevance before inclusion.,"Chase telcon text, call sheet, NSC prep notes, and same-day follow-up memoranda.","Broader PDD release; verify page image, date range, and OCR hit before citing.",2010-0083-F; Bosnia; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/147870839,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-006-006-2018.pdf,42-t-101784486-20130549F-006-006-2018.pdf,,,,,
14,Medium-high,Call or telcon lead,1995-11-20,Presidential Daily Diary reference: Dayton calls with Christopher and Tudjman,pages 38-40,147870847,LPWJC 2013-0549-F,[11/01/1995-11/30/1995],Bill Clinton; Warren Christopher; Franjo Tudjman,United States; Croatia; Bosnia and Herzegovina,Bosnia; Dayton,The diary records calls with Secretary Christopher in Dayton and a conference call with Croatian President Franjo Tudjman.,Use to anchor the Dayton peace negotiation endgame and chase telcon/source packets.,"Chase telcon text, call sheet, NSC prep notes, and same-day follow-up memoranda.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Bosnia; Dayton; Walesa,https://catalog.archives.gov/id/147870847,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-006-010-2018.pdf,42-t-101784486-20130549F-006-010-2018.pdf,,,,,
15,Medium-high,Call or telcon lead,1995-11-21,"Presidential Daily Diary reference: Dayton conference call with Tudjman, Izetbegovic, Milosevic, and Christopher",pages 41-42,147870847,LPWJC 2013-0549-F,[11/01/1995-11/30/1995],Bill Clinton; Franjo Tudjman; Alija Izetbegovic; Slobodan Milosevic; Warren Christopher; Lech Walesa; Aleksander Kwasniewski,United States; Croatia; Bosnia and Herzegovina; Serbia; Poland,Bosnia; Dayton; NATO enlargement,"The diary records a conference call with Franjo Tudjman, Alija Izetbegovic, Slobodan Milosevic, and Secretary Christopher, followed by calls with Lech Walesa and Aleksander Kwasniewski.",High-value Bosnia/Dayton and Central Europe lead; chase complete telcon records.,"Chase telcon text, call sheet, NSC prep notes, and same-day follow-up memoranda.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Bosnia; Dayton; Walesa,https://catalog.archives.gov/id/147870847,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-006-010-2018.pdf,42-t-101784486-20130549F-006-010-2018.pdf,,,,,
16,High,Call or telcon lead,1996-01-12,Presidential Daily Diary reference: secure voice call with NATO Secretary General Javier Solana,page 21,147870851,LPWJC 2013-0549-F,[01/01/1996-01/31/1996],Bill Clinton; Javier Solana,United States,NATO Strategy; Bosnia,The diary records a secure voice call with NATO Secretary General Javier Solana.,Use as a NATO/IFOR-era telcon lead; chase conversation text before selecting.,"Chase telcon text, call sheet, NSC prep notes, and same-day follow-up memoranda.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Milosevic; NATO; North Atlantic; Russia; Russian; Solana; Yeltsin,https://catalog.archives.gov/id/147870851,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-006-012-2018.pdf,42-t-101784486-20130549F-006-012-2018.pdf,,,,,
17,Medium-high,Call or telcon lead,1996-01-13,Presidential Daily Diary reference: call with Slobodan Milosevic,page 22,147870851,LPWJC 2013-0549-F,[01/01/1996-01/31/1996],Bill Clinton; Slobodan Milosevic,United States; Serbia; Bosnia and Herzegovina,Bosnia; Dayton,The diary records a call with Serbian President Slobodan Milosevic aboard Air Force One.,Use as a Bosnia/Dayton implementation lead; chase telcon text.,"Chase telcon text, call sheet, NSC prep notes, and same-day follow-up memoranda.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Milosevic; NATO; North Atlantic; Russia; Russian; Solana; Yeltsin,https://catalog.archives.gov/id/147870851,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-006-012-2018.pdf,42-t-101784486-20130549F-006-012-2018.pdf,,,,,
18,Medium-high,Call or telcon lead,1996-02-23,Presidential Daily Diary reference: conference call with Boris Yeltsin,page 36,147870853,LPWJC 2013-0549-F,[02/01/1996-02/29/1996],Bill Clinton; Boris Yeltsin,United States; Russia,NATO-Russia; European Security Architecture,The diary records an attempted Yeltsin call followed by a completed conference call with Yeltsin and NSC/Situation Room participants.,Use as a NATO-Russia consultation lead; verify substantive topic in telcon text.,"Chase telcon text, call sheet, NSC prep notes, and same-day follow-up memoranda.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Bosnia; NATO; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/147870853,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-006-013-2018.pdf,42-t-101784486-20130549F-006-013-2018.pdf,,,,,
19,High,Call or telcon lead,1997-07-03,Presidential Daily Diary reference: pre-Madrid conference call with Helmut Kohl,page 8,147870887,LPWJC 2013-0549-F,[07/01/1997-07/31/1997],Bill Clinton; Helmut Kohl,United States; Germany; Spain,NATO enlargement; NATO Strategy,The diary records a conference call with German Chancellor Helmut Kohl days before the Madrid NATO Summit.,Use as a Madrid/NATO-enlargement chronology lead; formal Madrid summit sessions remain a release gap in this diary pass.,"Chase telcon text, call sheet, NSC prep notes, and same-day follow-up memoranda.","Broader PDD release; verify page image, date range, and OCR hit before citing.",2010-0083-F; Madrid,https://catalog.archives.gov/id/147870887,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-007-017-2018.pdf,42-t-101784486-20130549F-007-017-2018.pdf,,,,,
20,Medium-high,Treaty or public-action lead,1998-03-25,Presidential Daily Diary reference: NATO enlargement ratification briefing and remarks,pages 52-53,147870909,LPWJC 2013-0549-F,[03/15/1998-03/31/1998],Bill Clinton; Madeleine Albright; Henry Shelton; Samuel Berger,United States; Poland; Czech Republic; Hungary,NATO enlargement,The diary records a briefing on the Senate's upcoming NATO enlargement ratification vote and remarks on enlargement.,"Use to align Senate-ratification records, public papers, and NSC congressional strategy files.","Chase briefing papers, decision memoranda, staff notes, and meeting readouts.","Broader PDD release; verify page image, date range, and OCR hit before citing.",NATO; North Atlantic; enlargement,https://catalog.archives.gov/id/147870909,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-008-011-2018.pdf,42-t-101784486-20130549F-008-011-2018.pdf,,,,,
21,Medium-high,Meeting lead,1998-04-30,Presidential Daily Diary reference: bipartisan support meeting for NATO enlargement,page 81,147870913,LPWJC 2013-0549-F,[04/15/1998-04/30/1998],Bill Clinton; Al Gore; Trent Lott; Thomas Daschle; Samuel Berger,United States; Poland; Czech Republic; Hungary,NATO enlargement,"The diary records a meeting on bipartisan support for NATO enlargement with Gore, Lott, Daschle, Bowles, Berger, Podesta, and others.",Use to fill the domestic strategy side of NATO enlargement ratification.,"Chase treaty/signing files, public papers, NSC legal-policy files, and speech drafts.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Dayton; NATO; North Atlantic; Russian; enlargement,https://catalog.archives.gov/id/147870913,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-009-002-2018.pdf,42-t-101784486-20130549F-009-002-2018.pdf,,,,,
22,High,Call or telcon lead,1998-05-08,Presidential Daily Diary reference: calls with Javier Solana and Vaclav Havel,pages 11 and 13,147870915,LPWJC 2013-0549-F,[05/01/1998-05/15/1998],Bill Clinton; Javier Solana; Vaclav Havel,United States; Czech Republic,NATO enlargement; NATO Strategy,The diary records a conference call with NATO Secretary General Javier Solana and a later call with Czech President Vaclav Havel.,Use as a NATO enlargement/accession lead; chase telcon records.,"Chase telcon text, call sheet, NSC prep notes, and same-day follow-up memoranda.","Broader PDD release; verify page image, date range, and OCR hit before citing.",2010-0083-F; Dayton; Havel; NATO; North Atlantic; Russia; Russian; Solana; Yeltsin,https://catalog.archives.gov/id/147870915,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-009-003-2018.pdf,42-t-101784486-20130549F-009-003-2018.pdf,,,,,
23,Medium-high,Treaty or public-action lead,1998-05-12,Presidential Daily Diary reference: NATO accession ratification ceremony,pages 12-13,17368188,LPWJC 2010-0083-F,[Ellen McCathran - Presidential Daily Diary - Hardcopy 5/3/98; 5/21/98; 5/22/98; 5/24/98; 6/3/98; 6/11/98; 6/21/98],Bill Clinton; Madeleine Albright; William Cohen; Joseph Ralston,United States; Poland; Czech Republic; Hungary,NATO enlargement,"The diary records a briefing and ceremony to sign the instruments of ratification for Poland, Hungary, and the Czech Republic to join NATO.","Use as the public/action chronology for accession ratification; pair with treaty, Senate, and NSC records.","Chase briefing papers, decision memoranda, staff notes, and meeting readouts.",User-supplied 2010-0083-F release; verify diary page image and any withdrawal sheets before citing.,2010-0083-F; NATO; North Atlantic; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/17368188,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/88/3681/17368188/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_002/42-t-7262157-20100083F-002-006-2015.pdf,42-t-7262157-20100083F-002-006-2015.pdf,,,,,
24,Medium-high,Briefing lead,1998-05-29,Presidential Daily Diary reference: Kosovo meeting with Ibrahim Rugova and Dayton implementation briefing,pages 54-55,147870917,LPWJC 2013-0549-F,[05/16/1998-05/31/1998],Bill Clinton; Ibrahim Rugova; Al Gore; Samuel Berger; Robert Gelbard,United States; Kosovo; Bosnia and Herzegovina,Kosovo; Bosnia; Dayton,"The diary records a meeting/briefing touching Dayton implementation, followed by a photo opportunity with Ibrahim Rugova and Kosovo Albanian leaders.",Use as a Kosovo escalation lead; chase NSC Balkans files and any Rugova memcon.,"Chase briefing papers, decision memoranda, staff notes, and meeting readouts.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Dayton; Kosovo; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/147870917,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-009-004-2018.pdf,42-t-101784486-20130549F-009-004-2018.pdf,,,,,
25,Medium-high,Call or telcon lead,1998-06-15,Presidential Daily Diary reference: meeting and conference call with Boris Yeltsin,pages 101-103,147870919,LPWJC 2013-0549-F,[06/01/1998-06/15/1998],Bill Clinton; Boris Yeltsin; Strobe Talbott; Samuel Berger,United States; Russia,NATO-Russia; Bosnia,"The diary records a meeting with Talbott, Berger, and others overlapping a conference call with Boris Yeltsin.",Use as a NATO-Russia consultation lead; chase telcon and preparatory notes.,"Chase telcon text, call sheet, NSC prep notes, and same-day follow-up memoranda.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Dayton; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/147870919,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-009-005-2018.pdf,42-t-101784486-20130549F-009-005-2018.pdf,,,,,
26,High,Treaty or public-action lead,1998-09-02,Presidential Daily Diary reference: Moscow meeting with Yeltsin and common-security signing,pages 57-58,17368189,LPWJC 2010-0083-F,[Ellen McCathran - Presidential Daily Diary - Hardcopy 7/7/98; 7/17/98; 7/19/98; 7/29/98; 8/1/98; 8/3/98; 8/21/98; 8/30/98; 9/2/98; 9/15/98; 9/18/98; 9/26/98],Bill Clinton; Boris Yeltsin; Madeleine Albright; Strobe Talbott,United States; Russia,NATO-Russia; European Security Architecture,"The diary records a Kremlin meeting with Yeltsin, a signing ceremony for documents on common security at the threshold of the 21st century, and a joint news conference.",Use as a high-priority NATO-Russia/common security lead; chase summit memoranda and signed-document files.,"Chase summit memcons, trip book tabs, briefing materials, and delegation follow-up files.",User-supplied 2010-0083-F release; verify diary page image and any withdrawal sheets before citing.,2010-0083-F; Havel; Kosovo; NATO; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/17368189,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/3681/17368189/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_002/42-t-7262157-20100083F-002-007-2015.pdf,42-t-7262157-20100083F-002-007-2015.pdf,,,,,
27,Medium-high,Meeting lead,1998-09-18,Presidential Daily Diary reference: Kosovo meeting with Robert Dole,page 80,17368189,LPWJC 2010-0083-F,[Ellen McCathran - Presidential Daily Diary - Hardcopy 7/7/98; 7/17/98; 7/19/98; 7/29/98; 8/1/98; 8/3/98; 8/21/98; 8/30/98; 9/2/98; 9/15/98; 9/18/98; 9/26/98],Bill Clinton; Robert Dole; Madeleine Albright; Samuel Berger,United States; Kosovo,Kosovo,"The diary records an Oval Office meeting to discuss Kosovo with former Senator Robert Dole, Sandy Berger, and others.","Use as a Kosovo diplomacy lead; chase memcon, Berger files, and congressional-contact files.","Chase substantive memcon, briefing book, source image, and NSC follow-up files.",User-supplied 2010-0083-F release; verify diary page image and any withdrawal sheets before citing.,2010-0083-F; Havel; Kosovo; NATO; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/17368189,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/3681/17368189/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_002/42-t-7262157-20100083F-002-007-2015.pdf,42-t-7262157-20100083F-002-007-2015.pdf,,,,,
28,Medium-high,Briefing lead,1999-03-23,Presidential Daily Diary reference: Kosovo briefings and congressional meeting,pages 26 and 33,147870957,LPWJC 2013-0549-F,[03/19/1999-03/31/1999],Bill Clinton; Madeleine Albright; William Cohen; George Tenet; Henry Shelton,United States; Kosovo; Serbia,Kosovo; NATO Strategy,"The diary records a Kosovo-era briefing and a meeting with members of Congress; the appendix lists Albright, Cohen, Tenet, Shelton, and congressional leaders.",Use as the pre-strike congressional and policy-briefing chronology.,"Chase briefing papers, decision memoranda, staff notes, and meeting readouts.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Bosnia; Kosovo; NATO; North Atlantic; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/147870957,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-011-002-2018.pdf,42-t-101784486-20130549F-011-002-2018.pdf,,,,,
29,Medium-high,Briefing lead,1999-03-24,Presidential Daily Diary reference: Kosovo air-strike briefing and statement,pages 37-38,147870957,LPWJC 2013-0549-F,[03/19/1999-03/31/1999],Bill Clinton; Jean Chretien; Samuel Berger; James Steinberg,United States; Canada; Serbia; Kosovo,Kosovo; NATO Strategy,"The diary records a call with Canadian Prime Minister Jean Chretien, a briefing on the air strikes against Serbian military targets, and a statement to the press.",Use as the start-of-air-campaign chronology; chase allied calls and speech/NSC drafts.,"Chase telcon text, call sheet, NSC prep notes, and same-day follow-up memoranda.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Bosnia; Kosovo; NATO; North Atlantic; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/147870957,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-011-002-2018.pdf,42-t-101784486-20130549F-011-002-2018.pdf,,,,,
