rank,category,priority_score,date,type,title,chapter,selection_decision,production_issues,coverage_signals,next_action,catalog_url,pdf_url,source_note
11,Rebalance Coverage,103,1994-01-01,Scout Lead,CSCE [Conference on Security and Cooperation in Europe] December 1994 [3],Crisis Security Files,Context candidate,,OSCE/CSCE architecture; Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/147873133,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2014/2014-0846-F/42-t-7585511-20140846F-002-002-2019.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council Executive Secretary (Clinton Administration), William Itoh's Files, CSCE [Conference on Security and Cooperation in Europe] December 1994 [3], NAID 147873133."
12,Rebalance Coverage,103,1998-09-18,Source Lead,"OFFICIAL INFORMAL: DEPUTY SECRETARY AND AMB. HILL ""TOUR THE TABLE"" WITH THE NAC ON KOSOVO ISSUES FROM A POLITICAL SETTLEMENT TO UN MANDATE",Crisis Security Files,Pending,selection,NAC/USNATO gap; late-volume coverage,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000059/C09000059.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000059/C09000059.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000059. Confidential."
13,Rebalance Coverage,101,1994-01-01,Scout Lead,CSCE [Conference on Security and Cooperation in Europe] December 1994 [1],European Security Architecture,Context candidate,,OSCE/CSCE architecture; non-crisis lane,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/147873129,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2014/2014-0846-F/42-t-7585511-20140846F-001-013-2019.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council Executive Secretary (Clinton Administration), William Itoh's Files, CSCE [Conference on Security and Cooperation in Europe] December 1994 [1], NAID 147873129."
14,Rebalance Coverage,101,1994-01-01,Scout Lead,CSCE [Conference on Security and Cooperation in Europe] December 1994 [2],European Security Architecture,Context candidate,,OSCE/CSCE architecture; non-crisis lane,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/147873131,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2014/2014-0846-F/42-t-7585511-20140846F-002-001-2019.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council Executive Secretary (Clinton Administration), William Itoh's Files, CSCE [Conference on Security and Cooperation in Europe] December 1994 [2], NAID 147873131."
15,Rebalance Coverage,101,1994-01-01,Scout Lead,CSCE [Conference on Security and Cooperation in Europe] December 1994 [5],European Security Architecture,Context candidate,,OSCE/CSCE architecture; non-crisis lane,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/147873137,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2014/2014-0846-F/42-t-7585511-20140846F-002-004-2019.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council Executive Secretary (Clinton Administration), William Itoh's Files, CSCE [Conference on Security and Cooperation in Europe] December 1994 [5], NAID 147873137."
16,Rebalance Coverage,101,1994-01-01,Scout Lead,CSCE [Conference on Security and Cooperation in Europe]1994,European Security Architecture,Context candidate,,OSCE/CSCE architecture; non-crisis lane,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/147873127,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2014/2014-0846-F/42-t-7585504-20140846F-001-012-2019.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council Executive Secretary (Clinton Administration), Executive Secretary's Subject Files, CSCE [Conference on Security and Cooperation in Europe]1994, NAID 147873127."
17,Rebalance Coverage,101,1997-02-10,Source Lead,"Prep meeting for Albright/Primakov Ministerial NATO-Russia Interagency flying squad 4:30 p.m. February 10, 1997",NATO-Russia and Partnership,Pending,selection,NATO-Russia thread; late-volume coverage; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Feb2024/FL-2017-13804/DOC_0C09000109/C09000109.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Feb2024/FL-2017-13804/DOC_0C09000109/C09000109.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000109. Unclassified."
18,Rebalance Coverage,101,1997-03-08,Source Lead,"March 8, 1997 Note From Strobe Talbott To Barbara Larkin",NATO-Russia and Partnership,Pending,selection,NATO-Russia thread; late-volume coverage; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Feb2024/FL-2017-13804/DOC_0C09000096/C09000096.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Feb2024/FL-2017-13804/DOC_0C09000096/C09000096.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000096. Unclassified."
19,Rebalance Coverage,101,1997-06-19,Source Lead,"MEMCON OF SECRETARY ALBRIGHT/RUSSIAN FOREIGN MINISTER PRIMAKOV DINNER AT THE G-8 DENVER SUMMIT, BUCKHORN EXCHANGE, JUNE 19, 1997",NATO-Russia and Partnership,Pending,selection,NATO-Russia thread; late-volume coverage; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000046/C09000046.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000046/C09000046.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000046. Confidential."
20,Rebalance Coverage,101,1998-01-22,Source Lead,Chernomyrdin Increases Controls on Mass-Destruction Weapons w/Attachment(s),NATO-Russia and Partnership,Pending,selection,NATO-Russia thread; late-volume coverage; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2025/FL-2017-13804/DOC_0C09000037/C09000037.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2025/FL-2017-13804/DOC_0C09000037/C09000037.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000037. Unclassified."
21,Rebalance Coverage,101,1998-05-20,Source Lead,"MEMORANDUM OF CONVERSATION BETWEEN PREISDENT CLINTON AND THE PRESIDENT OF RUSSIA BORIS YELTSIN ON 5/12/1998, S/S#9808780 w/Attached Cover Sheet",NATO-Russia and Partnership,Pending,selection,NATO-Russia thread; late-volume coverage; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000006/C09000006.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000006/C09000006.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000006. Unclassified; Nodis; Eyes Only."
22,Rebalance Coverage,101,1998-12-21,Source Lead,"December 21, 1998 Letter From Strobe Talbott To Bronislaw Geremek",European Security Architecture,Pending,selection,Madrid/accession thread; late-volume coverage; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Dec2023/FL-2017-13804/DOC_0C09000050/C09000050.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Dec2023/FL-2017-13804/DOC_0C09000050/C09000050.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000050. Unclassified."
23,Rebalance Coverage,101,1999-04-29,Source Lead,UPDATE FROM STROBE,NATO-Russia and Partnership,Pending,selection,NATO-Russia thread; late-volume coverage; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_June2024/FL-2017-13804/DOC_0C09000019/C09000019.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_June2024/FL-2017-13804/DOC_0C09000019/C09000019.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000019. Unclassified."
24,Rebalance Coverage,101,2000-02-02,Source Lead,Secretary Albright's Meeting with Acting President Putin,NATO-Russia and Partnership,Pending,selection,NATO-Russia thread; late-volume coverage; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000064/C09000064.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000064/C09000064.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000064. Confidential."
25,Chase Diary Leads,101,1999-11-18,Context,Presidential Daily Diary reference: OSCE Istanbul Summit and bilateral meeting with Yeltsin,NATO-Russia and Partnership,Context candidate,,OSCE/CSCE architecture; NATO-Russia thread; late-volume coverage; non-crisis lane,"Chase substantive memcon, telcon, briefing book, trip file, or summit file.",https://catalog.archives.gov/id/17368195,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/95/3681/17368195/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_002/42-t-7262157-20100083F-002-012-2015.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Presidential Daily Diary, Ellen McCathran Files, Release LPWJC 2010-0083-F, [Ellen McCathran - Presidential Daily Diary - Hardcopy 10/6/99; 10/11/99; 10/18/99; 10/28/99; 11/6/99; 10/11/99; 10/18/99; 10/28/99; 11/6/99; 11/17/99; 11/18/99; 11/30/99], NAID 17368195, Unclassified diary record. Source pages: pages 51-59."
26,Rebalance Coverage,99,1994-01-01,Scout Lead,"Briefing Books - POTUS Trip to Prague, Czech Republic, January 11-12, 1994",NATO Strategy and Enlargement,Pending,selection,Madrid/accession thread; non-crisis lane,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/368557013,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/7585709/7585709-20170413F-002-008-2024.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Briefing Books - POTUS Trip to Prague, Czech Republic, January 11-12, 1994, NAID 368557013."
27,Chase Diary Leads,99,1999-04-23,Context,Presidential Daily Diary reference: NATO 50th Anniversary Summit weekend,Crisis Security Files,Context candidate,,NAC/USNATO gap; NATO-Russia thread; late-volume coverage,"Chase substantive memcon, telcon, briefing book, trip file, or summit file.",https://catalog.archives.gov/id/147870961,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-011-004-2018.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Presidential Daily Diary, Ellen McCathran Files, Release LPWJC 2013-0549-F, [04/18/1999-04/30/1999], NAID 147870961, Unclassified diary record. Source pages: pages 40-49."
28,Rebalance Coverage,95,1996-06-10,Source Lead,"SECRETARY CHRISTOPHER'S MEETING WITH RUSSIAN FOREIGN MINISTER PRIMAKOV; JUNE 4, 1996, BERLIN w/Attached Cover Sheet",NATO-Russia and Partnership,Include candidate,,NATO-Russia thread; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000034/C09000034.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000034/C09000034.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000034. Confidential; Nodis."
29,Rebalance Coverage,95,1996-09-06,Source Lead,ACTING SECRETARY TALBOTT'S CONVERSATION WITH RUSSIAN DEPUTY FOREIGN MINISTER MAMEDOV,NATO-Russia and Partnership,Include candidate,,NATO-Russia thread; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2025/FL-2017-13804/DOC_0C09000058/C09000058.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2025/FL-2017-13804/DOC_0C09000058/C09000058.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000058. Secret; Nodis; Eyes Only."
30,Chase Diary Leads,93,1994-12-05,Context,"Presidential Daily Diary reference: CSCE Budapest Summit and meetings with Yeltsin, Kohl, Croatian and Bosnian officials",Crisis Security Files,Context candidate,,OSCE/CSCE architecture; Madrid/accession thread; NATO-Russia thread,"Chase substantive memcon, telcon, briefing book, trip file, or summit file.",https://catalog.archives.gov/id/147870813,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-004-012-2018.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Presidential Daily Diary, Ellen McCathran Files, Release LPWJC 2013-0549-F, [12/01/1994-12/15/1994], NAID 147870813, Unclassified diary record. Source pages: pages 42-44."
31,Rebalance Coverage,91,1993-04-28,Source Lead,Proposed Message to President Yeltsin,NATO-Russia and Partnership,Pending,selection,NATO-Russia thread; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000054/C09000054.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000054/C09000054.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000054. Secret."
32,Rebalance Coverage,91,1993-07-16,Source Lead,Memon with President Boris Yeltsin of Russia w/Attached Cover Sheet,NATO-Russia and Partnership,Pending,selection,NATO-Russia thread; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2023/FL-2017-13804/DOC_0C09000001/C09000001.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2023/FL-2017-13804/DOC_0C09000001/C09000001.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000001. Secret; Nodis; Eyes Only."
33,Rebalance Coverage,91,1996-06-18,Source Lead,Transmittal Memorandum of Telephone Conversation with Russian Boris Yeltsin w/Attachment(s),NATO-Russia and Partnership,Pending,selection,NATO-Russia thread; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2025/FL-2017-13804/DOC_0C09000056/C09000056.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2025/FL-2017-13804/DOC_0C09000056/C09000056.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000056. Confidential; Nodis."
34,Rebalance Coverage,91,1996-07-03,Source Lead,Meeting with Polish President Kwasniewski,NATO-Russia and Partnership,Pending,selection,Madrid/accession thread; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000079/C09000079.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000079/C09000079.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000079. Confidential."
35,Rebalance Coverage,91,1996-10-13,Source Lead,A/S GATI TOUR D'HORIZON WITH DFM MAMEDOV,NATO-Russia and Partnership,Pending,selection,NATO-Russia thread; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2025/FL-2017-13804/DOC_0C09000065/C09000065.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2025/FL-2017-13804/DOC_0C09000065/C09000065.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000065. Confidential; Nodis."
36,Rebalance Coverage,91,2000-01-01,Scout Lead,"Estonia - Meeting with Minister of Defense Juri Luik, March 9, 2000",NATO-Russia and Partnership,Pending,selection,late-volume coverage; non-crisis lane,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/23901636,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/9016/23901636/content/presidential-libraries/clinton/foia/2011-1036-F/2011-1036-F-JPG/Box_004/42-t-7585471-20111036F-004-006-2015/42_t_7585471_20111036F_004_006_2015_Page_001.JPG,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Antony Blinken's Files, Estonia - Meeting with Minister of Defense Juri Luik, March 9, 2000, NAID 23901636."
37,Rebalance Coverage,91,2000-01-01,Scout Lead,"Lithuania - Meeting with Deputy Foreign Minister Usackas, November 13, 2000",NATO Strategy and Enlargement,Pending,selection,late-volume coverage; non-crisis lane,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/23902170,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscea/7585471/42-t-7585471-20111038F-002-019-2015.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Antony Blinken's Files, Lithuania - Meeting with Deputy Foreign Minister Usackas, November 13, 2000, NAID 23902170."
38,Rebalance Coverage,89,1997-07-12,Source Lead,"MEMORANDUM OF CONVERSATION BETWEEN SECRETARY OF STATE ALBRIGHT AND RUSSIAN FOREIGN MINISTER PRIMAKOV RUSSIA: ST. PETERSBURG JULY 12, 1997 AT DINNER IN ""NOBLES' NEST"" RESTAURANT (DVORYANSKOYE GNEZDO) BOSNIA w/Attachment(s)",Crisis Security Files,Include candidate,,NATO-Russia thread; late-volume coverage,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000045/C09000045.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000045/C09000045.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000045. Unclassified."
39,Rebalance Coverage,89,1999-04-13,Source Lead,"Under Secretary Pickering's Meeting with Russian Deputy Foreign Minister Georgiy Mamedov, April 9, 1999, Dresden, Germany w/Attachment(s)",Crisis Security Files,Include candidate,,NATO-Russia thread; late-volume coverage,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_June2024/FL-2017-13804/DOC_0C09000042/C09000042.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_June2024/FL-2017-13804/DOC_0C09000042/C09000042.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000042. Secret."
40,Rebalance Coverage,89,1999-06-08,Memcon,Memorandum of Conversation - President Arpad Goncz of Hungary,NATO Strategy and Enlargement,Include candidate,chronology,Madrid/accession thread; late-volume coverage; non-crisis lane,Verify Washington time and chronological placement.,https://clinton.presidentiallibraries.us/items/show/101598,https://clinton.presidentiallibraries.us/files/original/bba4979c2e685ab534478f898bf75c30.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2015-0133-M, Item 101598. Confidential."
41,Rebalance Coverage,89,1999-11-19,Memcon,Memorandum of Conversation - President Boris Yeltsin of Russia,NATO-Russia and Partnership,Include candidate,chronology,NATO-Russia thread; late-volume coverage; non-crisis lane,Verify Washington time and chronological placement.,https://clinton.presidentiallibraries.us/items/show/101582,https://clinton.presidentiallibraries.us/files/original/3ea5b8a29cbf7b1fc12b3d62aa2c6285.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2015-0777-M, Item 101582. Secret."
42,Rebalance Coverage,87,1993-01-01,Scout Lead,Bosnia - CSCE [Council on Security and Cooperation in Europe],Crisis Security Files,Pending,selection,OSCE/CSCE architecture,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/40482313,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/13/4823/40482313/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_005/42-t-7585484-20080994F-005-006-2016/42_t_7585484_20080994F_005_006_2016_Page_001.JPG,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Jane Holl's Files, Bosnia - CSCE [Council on Security and Cooperation in Europe], NAID 40482313."
43,Rebalance Coverage,87,1997-07-22,Source Lead,"July 22, 1997 Letter From Strobe Talbott To H.E. Anatoly Chubais",NATO-Russia and Partnership,Include candidate,,late-volume coverage; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2024/FL-2017-13804/DOC_0C09000060/C09000060.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2024/FL-2017-13804/DOC_0C09000060/C09000060.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000060. Unclassified."
