date,washington_time,type,title,participants,countries,chapter,selection_decision,declassification,source_id,markings,source_pages,catalog_url,pdf_url,source_note,next_action
1993-04-09,,Release Packet,Summary of Conclusions on Bosnia,Bill Clinton,United States; Bosnia and Herzegovina,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 12",Secret,12,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
1993-04-14,,Memcon,Memorandum of Conversation - Vice President Gore and President Alija Izetbegovic,Bill Clinton; Alija Izetbegovic,United States; Bosnia and Herzegovina; Croatia,Crisis Security Files,Include candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2011-0964-M; 3-7",Secret; Secret,3-7,https://clinton.presidentiallibraries.us/items/show/36589,https://clinton.presidentiallibraries.us/files/original/1e07f85597e7a0a171bbd0b1ad67cdf1.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2011-0964-M, Item 36589. Secret.",Verify Washington time and final chronological placement against the source image or PDF.
1993-04-19,,Release Packet,Summary of Conclusions on Bosnia,Bill Clinton,United States; Russia; Bosnia and Herzegovina,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 13-14",Secret,13-14,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
1993-04-20,,Memcon,Memorandum of Conversation - Meeting with President Vaclav Havel of the Czech Republic,Bill Clinton; Vaclav Havel; Lech Walesa,United States; Russia; Poland; Czech Republic; Bosnia and Herzegovina,Crisis Security Files,Include candidate,Pending review,William J. Clinton Presidential Library; 119030,Confidential; Confidential,,https://clinton.presidentiallibraries.us/items/show/119030,,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release Declassified Documents Concerning President Vaclav Havel of the Czech Republic and President Lech Walesa of Poland, Item 119030. Confidential.",Verify Washington time and final chronological placement against the source image or PDF.
1993-04-20,,Telcon,Memorandum of Telephone Conversation - President Francois Mitterrand of France,Bill Clinton; Francois Mitterrand,United States; France; Bosnia and Herzegovina,Crisis Security Files,Include candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2015-0774-M; 1-4",Confidential; Confidential,1-4,https://clinton.presidentiallibraries.us/items/show/101350,https://clinton.presidentiallibraries.us/files/original/5d531ef1274105f9657199a8a2a3c2ef.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Telcons - Memoranda of Telephone Conversation, Release 2015-0774-M, Item 101350. Confidential.",Verify Washington time and final chronological placement against the source image or PDF.
1993-04-21,,Memcon,Memorandum of Conversation - Meeting with President Lech Walesa of Poland,Bill Clinton; Vaclav Havel; Lech Walesa,United States; Poland; Czech Republic,NATO Strategy and Enlargement,Include candidate,Pending review,William J. Clinton Presidential Library; 119044,Confidential; Confidential,,https://clinton.presidentiallibraries.us/items/show/119044,,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release Declassified Documents Concerning President Vaclav Havel of the Czech Republic and President Lech Walesa of Poland, Item 119044. Confidential.",Verify Washington time and final chronological placement against the source image or PDF.
1993-04-21,,Memcon,Memorandum of Conversation - President Arpad Goncz of Hungary,Bill Clinton,United States; Hungary,NATO Strategy and Enlargement,Include candidate,Pending review,William J. Clinton Presidential Library; 101329,Confidential; Confidential,,https://clinton.presidentiallibraries.us/items/show/101329,https://clinton.presidentiallibraries.us/files/original/cf38634dd5644dda387d6312d6065d67.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2015-0133-M, Item 101329. Confidential.",Verify Washington time and final chronological placement against the source image or PDF.
1993-05-06,,Telcon,Memorandum of Telephone Conversation - President Francois Mitterrand of France,Bill Clinton; Francois Mitterrand,United States; France; Bosnia and Herzegovina,Crisis Security Files,Include candidate,Pending review,William J. Clinton Presidential Library; 101351,Secret; Secret,,https://clinton.presidentiallibraries.us/items/show/101351,https://clinton.presidentiallibraries.us/files/original/3dcddfba1080842a98d3c7af6e455ee8.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Telcons - Memoranda of Telephone Conversations, Release 2015-0774-M, Item 101351. Secret.",Verify Washington time and final chronological placement against the source image or PDF.
1993-05-06,,Release Packet,"Summary of Conclusions, Principals Committee Meeting on Bosnia",Bill Clinton,United States; Bosnia and Herzegovina,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 15-16",Secret,15-16,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
1993-05-08,,Release Packet,Decisions of Principals Committee Meeting with the President and Vice President on Bosnia,Bill Clinton,United States; Bosnia and Herzegovina; Serbia,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 17-18",Secret,17-18,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
1993-05-17,,Release Packet,Decisions of Principals Committee Meeting on Bosnia,Bill Clinton,United States; Bosnia and Herzegovina,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 19-20",Secret; Secret,19-20,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
1993-09-01,,Release Packet,"Summary of Conclusions, NSC Principals Committee Meeting on Bosnia",Bill Clinton,United States; Bosnia and Herzegovina,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 21-23",Secret,21-23,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
1993-09-08,,Memcon,Memorandum of Conversation - President Clinton and President Alija Izetbegovic,Bill Clinton; Alija Izetbegovic,United States; Bosnia and Herzegovina,Crisis Security Files,Include candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2011-0964-M; 10-15",Secret; Secret,10-15,https://clinton.presidentiallibraries.us/items/show/36589,https://clinton.presidentiallibraries.us/files/original/1e07f85597e7a0a171bbd0b1ad67cdf1.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2011-0964-M, Item 36589. Secret.",Verify Washington time and final chronological placement against the source image or PDF.
1993-09-17,,Memcon,Memorandum of Conversation - Prime Minister Carlo Ciampi of Italy,Bill Clinton,United States; Russia; Italy,NATO-Russia and Partnership,Include candidate,Pending review,William J. Clinton Presidential Library; 101346,Confidential; Confidential,,https://clinton.presidentiallibraries.us/items/show/101346,https://clinton.presidentiallibraries.us/files/original/df7541d4f739658b122360c51d75e84f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2015-0755-M, Item 101346. Confidential.",Verify Washington time and final chronological placement against the source image or PDF.
1993-09-20,,Release Packet,"Summary of Conclusions, NSC Principals Committee Meeting on Bosnia",Bill Clinton,United States; Bosnia and Herzegovina,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 24-25",Secret,24-25,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
1993-09-29,,Context,Presidential Daily Diary reference: meeting with Russian Foreign Minister Andrey Kozyrev,Bill Clinton; Andrey Kozyrev,United States; Russia,NATO-Russia and Partnership,Context candidate,Released with excisions,"National Archives and Records Administration, National Archives Catalog; LPWJC 2013-0549-F; 147870769; page 90",Unclassified diary record,page 90,https://catalog.archives.gov/id/147870769,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-002-007-2018.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Presidential Daily Diary, Ellen McCathran Files, Release LPWJC 2013-0549-F, [09/16/1993-09/30/1993], NAID 147870769, Unclassified diary record.","Use as a chronology lead; chase the substantive memcon, telcon, briefing book, trip file, or summit file before selection."
1993-10-02,,Release Packet,"Summary of Conclusions, NSC Principals Committee Meeting on Bosnia",Bill Clinton,United States; Bosnia and Herzegovina; Serbia; Croatia,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 26-27",Secret; Secret,26-27,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
1993-10-06,,Context,Presidential Daily Diary reference: meeting with NATO Secretary General Manfred Woerner,Bill Clinton; Manfred Woerner,United States,NATO Strategy and Enlargement,Context candidate,Released with excisions,"National Archives and Records Administration, National Archives Catalog; LPWJC 2010-0083-F; 17368174; page 5",Unclassified diary record,page 5,https://catalog.archives.gov/id/17368174,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/74/3681/17368174/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-005-2015.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Presidential Daily Diary, Ellen McCathran Files, Release LPWJC 2010-0083-F, [Ellen McCathran - Presidential Daily Diary - Hardcopy 10/6/93; 10/11/93; 10/18/93; 10/26/93; 11/6/93; 11/17/93; 11/18/93; 11/30/93], NAID 17368174, Unclassified diary record.","Use as a chronology lead; chase the substantive memcon, telcon, briefing book, trip file, or summit file before selection."
1993-10-19,,Release Packet,"Summary of Conclusions, NSC Principals Committee Meeting on Bosnia",Bill Clinton,United States; Bosnia and Herzegovina,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 28",Secret,28,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
1993-10-28,,Release Packet,"Summary of Conclusions, NSC Deputies Committee Meeting on Bosnia",Bill Clinton,United States; Bosnia and Herzegovina,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 29-30",Secret,29-30,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
1993-11-16,,Release Packet,"Summary of Conclusions, NSC Deputies Committee Meeting on Bosnia",Bill Clinton,United States; Bosnia and Herzegovina; Serbia,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 31-32",Secret,31-32,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
1994-01-03,,Context,Presidential Daily Diary reference: NATO Summit preparation meetings,Bill Clinton; Strobe Talbott; Anthony Lake; Samuel Berger,United States,NATO Strategy and Enlargement,Context candidate,Released with excisions,"National Archives and Records Administration, National Archives Catalog; LPWJC 2013-0549-F; 147870783; pages 18 and 21",Unclassified diary record,pages 18 and 21,https://catalog.archives.gov/id/147870783,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-003-006-2018.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Presidential Daily Diary, Ellen McCathran Files, Release LPWJC 2013-0549-F, [01/01/1994-01/15/1994], NAID 147870783, Unclassified diary record.","Use as a chronology lead; chase the substantive memcon, telcon, briefing book, trip file, or summit file before selection."
1994-01-11,,Memcon,Memorandum of Conversation - President Vaclav Havel of the Czech Republic and Czech Leaders,Bill Clinton; Vaclav Havel,United States; Russia; Czech Republic,NATO-Russia and Partnership,Include candidate,Pending review,William J. Clinton Presidential Library; 101393,Confidential; Confidential,,https://clinton.presidentiallibraries.us/items/show/101393,,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release LP-WJC/DOS-16-1, Item 101393. Confidential.",Verify Washington time and final chronological placement against the source image or PDF.
1994-01-12,,Memcon,"Memorandum of Conversation -President Lech Walesa of Poland, President Arpad Goencz of Hungary, President Michal Kovac of Slovakia, and President Vaclav Havel of the Czech Republic",Bill Clinton; Vaclav Havel; Lech Walesa,United States; Russia; Poland; Czech Republic; Hungary; Bosnia and Herzegovina,Crisis Security Files,Include candidate,Pending review,William J. Clinton Presidential Library; 101395,Confidential; Confidential,,https://clinton.presidentiallibraries.us/items/show/101395,,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release LP-WJC/DOS-16-1, Item 101395. Confidential.",Verify Washington time and final chronological placement against the source image or PDF.
1994-01-13,,Memcon,"President's dinner with President Yeltsin, January 13/14, 1994",Bill Clinton; Boris Yeltsin; Warren Christopher; Lloyd Bentsen; Anthony Lake; Strobe Talbott; Thomas Pickering; Viktor Chernomyrdin; Andrei Kozyrev; Pavel Grachev,United States; Russia; Bosnia and Herzegovina; Ukraine,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library, Item 101370, Memcons - Memoranda of Conversation; clinton-item-101370; Clinton Digital Library item 101370; 1-11",Secret; Secret,1-11,https://clinton.presidentiallibraries.us/items/show/101370,https://clinton.presidentiallibraries.us/files/original/c016beef71be071cd9c96fcf0972fd57.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library item 101370, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 13, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation. Item description: ""This Memcon was received as a NSC Cable."" Source PDF label: ""69 Memcon Cable President Boris Yeltsin of Russia (not really a memcon) Jan 13 1994.pdf."". Secret.",Verify Washington time and final chronological placement against the source image or PDF.
1994-01-14,,Context,Presidential Daily Diary reference: denuclearization signing with Yeltsin and Kravchuk,Bill Clinton; Boris Yeltsin; Leonid Kravchuk,United States; Russia; Ukraine,NATO-Russia and Partnership,Context candidate,Released with excisions,"National Archives and Records Administration, National Archives Catalog; LPWJC 2013-0549-F; 147870783; page 68",Unclassified diary record,page 68,https://catalog.archives.gov/id/147870783,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-003-006-2018.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Presidential Daily Diary, Ellen McCathran Files, Release LPWJC 2013-0549-F, [01/01/1994-01/15/1994], NAID 147870783, Unclassified diary record.","Use as a chronology lead; chase the substantive memcon, telcon, briefing book, trip file, or summit file before selection."
1994-01-15,,Memcon,Memorandum of Conversation - President Otto Stich of Switzerland,Bill Clinton,United States,Crisis Security Files,Include candidate,Pending review,William J. Clinton Presidential Library; 101396,Confidential; Confidential,,https://clinton.presidentiallibraries.us/items/show/101396,https://clinton.presidentiallibraries.us/files/original/63f659888b616c4810b985d57888aed3.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release LP-WJC/DOS-16-1, Item 101396. Confidential.",Verify Washington time and final chronological placement against the source image or PDF.
1994-01-20,,Telcon,Memorandum of Telephone Conversation with President Ulmanis of Latvia,Bill Clinton,United States,NATO Strategy and Enlargement,Include candidate,Pending review,William J. Clinton Presidential Library; 118919,Confidential; Confidential,,https://clinton.presidentiallibraries.us/items/show/118919,https://clinton.presidentiallibraries.us/files/original/26cb14efd84422e9b5ca25b66f4a978e.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Telcons - Memoranda of Telephone Conversations, Release 2016-0314-M-2, Item 118919. Confidential.",Verify Washington time and final chronological placement against the source image or PDF.
1994-02-18,,Release Packet,"Summary of Conclusions, NSC Principals Committee Meeting on Bosnia",Bill Clinton,United States; Bosnia and Herzegovina,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 33-35",Secret,33-35,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
